City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,mount gambier,-37.8333,140.7667,12.04,95,100,3.11,AU,1692519361
1,bethel,41.3712,-73.414,16.06,84,0,0.0,US,1692519362
2,port-aux-francais,-49.35,70.2167,1.88,74,100,11.98,TF,1692519362
3,thompson,55.7435,-97.8558,9.09,93,20,3.09,CA,1692519363
4,adamstown,-25.066,-130.1015,17.49,58,10,10.99,PN,1692519363
5,puerto natales,-51.7236,-72.4875,-1.4,90,100,1.29,CL,1692519364
6,nova sintra,14.8667,-24.7167,23.06,75,99,4.99,CV,1692519364
7,jabat,7.75,168.9751,28.68,75,100,6.79,MH,1692519364
8,fenghuang,27.9356,109.5996,26.53,85,96,1.34,CN,1692519365
9,alice springs,-23.7,133.8833,22.75,21,0,2.57,AU,1692519365
10,qaqortoq,60.7167,-46.0333,7.63,66,100,1.91,GL,1692519365
11,whitehorse,60.7161,-135.0538,12.12,62,20,3.6,CA,1692519326
12,edinburgh of the seven seas,-37.0676,-12.3116,10.3,68,97,13.0,SH,1692519365
13,ust-nera,64.5667,143.2,8.75,93,100,3.06,RU,1692519366
14,atafu village,-8.5421,-172.5159,28.77,75,29,7.33,TK,1692519366
15,lompoc,34.6391,-120.4579,17.74,84,40,1.79,US,1692519209
16,lambarene,-0.7001,10.2406,24.01,88,100,0.22,GA,1692519366
17,hawaiian paradise park,19.5933,-154.9731,23.73,91,100,2.57,US,1692519111
18,bilibino,68.0546,166.4372,5.55,69,100,1.78,RU,1692519367
19,bel ombre,-4.6167,55.4167,28.91,74,20,7.2,SC,1692519367
20,la ronge,55.1001,-105.2842,11.14,87,0,3.09,CA,1692519367
21,wajir,1.7471,40.0573,29.26,43,45,7.88,KE,1692519367
22,waitangi,-43.9535,-176.5597,11.57,95,100,4.02,NZ,1692519367
23,longyearbyen,78.2186,15.6401,5.91,81,75,3.09,SJ,1692519078
24,ascope,-7.7144,-79.1078,18.63,83,68,0.74,PE,1692519368
25,sao felix do xingu,-6.6447,-51.995,24.1,52,54,0.27,BR,1692519368
26,kismayo,-0.3582,42.5454,28.15,68,41,8.67,SO,1692519368
27,kone,-21.0595,164.8658,17.14,72,0,3.03,NC,1692519368
28,sarina,-21.4333,149.2167,17.56,59,1,2.19,AU,1692519368
29,yellowknife,62.456,-114.3525,11.34,95,100,1.42,CA,1692519369
30,grytviken,-54.2811,-36.5092,-6.3,79,10,1.66,GS,1692519369
31,tiksi,71.6872,128.8694,4.1,95,99,4.64,RU,1692519369
32,kruisfontein,-34.0033,24.7314,17.71,52,0,1.39,ZA,1692519369
33,yueyang,29.3333,113.0919,35.32,44,46,0.86,CN,1692519370
34,ribeira grande,38.5167,-28.7,22.65,88,75,1.54,PT,1692519370
35,blackmans bay,-43.0167,147.3167,14.07,71,100,0.88,AU,1692519370
36,valenza,45.0141,8.6414,30.63,63,0,1.56,IT,1692519370
37,wuyishan,28.0047,117.8114,29.25,78,16,0.28,CN,1692519370
38,chibougamau,49.9168,-74.3659,13.79,100,75,1.54,CA,1692519371
39,namibe,-15.1961,12.1522,18.47,74,6,2.55,AO,1692519371
40,san patricio,28.017,-97.5169,29.36,82,100,3.24,US,1692519371
41,esquel,-42.9,-71.3167,1.35,98,100,1.02,AR,1692519291
42,villarrica,-25.75,-56.4333,12.91,86,0,0.86,PY,1692519371
43,vale da amoreira,39.0697,-7.6985,24.26,70,93,1.84,PT,1692519371
44,stanley,54.868,-1.6985,18.76,79,20,5.66,GB,1692519372
45,trairi,-3.2778,-39.2689,24.15,86,8,4.21,BR,1692519372
46,nunkini,20.3333,-90.1833,23.87,97,11,1.42,MX,1692519372
47,sitka,57.0531,-135.33,12.94,82,100,0.0,US,1692519372
48,jayapura,-2.5333,140.7,27.66,83,100,2.32,ID,1692519193
49,bredasdorp,-34.5322,20.0403,13.96,70,0,2.22,ZA,1692519372
50,aswan,24.0934,32.907,37.61,23,0,6.69,EG,1692519372
51,abalak,58.1286,68.5944,17.7,44,100,2.77,RU,1692519373
52,bechar,31.6167,-2.2167,33.18,17,5,4.63,DZ,1692519232
53,iqaluit,63.7506,-68.5145,4.85,100,100,5.66,CA,1692519373
54,lihue,21.9789,-159.3672,26.77,81,40,6.17,US,1692519373
55,tashtyp,52.7939,89.8983,12.9,98,100,1.48,RU,1692519373
56,nemuro,43.3236,145.575,20.03,100,99,3.22,JP,1692519260
57,saipan,15.1355,145.701,29.8,100,20,3.6,MP,1692519373
58,tura,25.5198,90.2201,29.75,73,99,2.15,IN,1692519374
59,konarka,19.9,86.1167,31.22,74,87,8.47,IN,1692519374
60,chakvi,41.7187,41.7335,28.99,61,20,3.6,GE,1692519374
61,chust,41.0094,71.2287,32.66,9,0,3.07,UZ,1692519374
62,punta arenas,-53.15,-70.9167,0.61,89,62,3.29,CL,1692519136
63,nefta,33.8731,7.8777,34.14,30,0,8.73,TN,1692519374
64,luderitz,-26.6481,15.1594,13.61,68,38,4.83,NA,1692519375
65,al kawa,13.7463,32.4996,34.06,40,7,5.92,SD,1692519375
66,esmeralda,21.8525,-78.1169,26.45,85,7,4.44,CU,1692519375
67,colonia,50.9333,6.95,25.79,80,0,0.51,DE,1692519291
68,ilulissat,69.2167,-51.1,9.01,93,100,0.0,GL,1692519375
69,sao jose da coroa grande,-8.8978,-35.1478,23.22,87,49,1.09,BR,1692519375
70,ushuaia,-54.8,-68.3,4.81,65,96,3.09,AR,1692519234
71,achikulak,44.5517,44.8378,34.98,19,0,4.5,RU,1692519376
72,salekhard,66.53,66.6019,12.43,65,97,3.6,RU,1692519376
73,novodvinsk,64.4165,40.8122,12.61,52,87,4.04,RU,1692519376
74,margate,51.3813,1.3862,19.37,82,0,1.34,GB,1692519189
75,kavaratti,10.5669,72.642,28.1,75,26,7.17,IN,1692519377
76,petropavlovsk-kamchatsky,53.0452,158.6483,18.33,68,20,3.0,RU,1692519377
77,rexburg,43.826,-111.7897,19.99,63,0,2.57,US,1692519188
78,kampong thom,12.7111,104.8887,31.93,65,100,2.14,KH,1692519377
79,bhimunipatnam,17.8833,83.4333,32.73,72,55,7.61,IN,1692519377
80,sardarapat,40.1321,44.0097,29.94,29,0,1.93,AM,1692519377
81,reggane,26.7158,0.1714,35.9,15,23,3.84,DZ,1692519377
82,port elizabeth,-33.918,25.5701,18.16,72,0,2.57,ZA,1692519091
83,chapaev,50.2,51.1667,33.2,28,7,3.99,KZ,1692519378
84,hithadhoo,-0.6,73.0833,27.95,76,100,3.23,MV,1692519378
85,nizhneudinsk,54.9076,99.0276,18.96,43,100,2.82,RU,1692519378
86,pisco,-13.7,-76.2167,15.01,82,6,1.54,PE,1692519279
87,tolanaro,-25.0319,46.9987,23.09,64,3,2.78,MG,1692519378
88,jamestown,42.097,-79.2353,17.62,98,0,2.06,US,1692519168
89,arraial do cabo,-22.9661,-42.0278,20.86,92,9,2.88,BR,1692519337
90,college,64.8569,-147.8028,11.15,85,100,1.54,US,1692519379
91,wailua homesteads,22.0669,-159.378,26.44,86,40,6.17,US,1692519379
92,albany,42.6001,-73.9662,14.34,91,1,0.89,US,1692519379
93,dongola,19.1667,30.4833,40.47,12,47,6.02,SD,1692519379
94,hastings,50.8552,0.5729,21.1,28,0,4.06,GB,1692519379
95,grand falls-windsor,48.9332,-55.6649,17.5,95,100,2.2,CA,1692519380
96,invercargill,-46.4,168.35,8.34,89,99,2.68,NZ,1692519377
97,nurota,40.5614,65.6886,36.76,10,0,4.6,UZ,1692519380
98,guerrero negro,27.9769,-114.0611,26.4,73,100,24.47,MX,1692519380
99,vorgashor,67.5833,63.95,9.36,73,98,4.99,RU,1692519380
100,nago,26.5881,127.9761,31.92,81,99,3.47,JP,1692519380
101,afaahiti,-17.75,-149.2833,23.93,77,31,4.97,PF,1692519381
102,polygyros,40.3744,23.4383,30.73,39,1,0.78,GR,1692519381
103,kozhikode,11.25,75.7667,29.65,66,12,5.29,IN,1692519381
104,punta del este,-34.9667,-54.95,10.49,80,100,9.83,UY,1692519381
105,talara,-4.5772,-81.2719,20.39,82,100,6.34,PE,1692519381
106,anadyr,64.75,177.4833,10.0,76,0,3.58,RU,1692519382
107,olonkinbyen,70.9221,-8.7187,6.54,91,100,5.03,SJ,1692519382
108,ust-tsilma,65.441,52.1498,10.35,65,100,5.06,RU,1692519382
109,st. john's,47.5649,-52.7093,17.6,97,100,1.79,CA,1692519083
110,greytown,-29.0642,30.5928,20.83,26,0,1.86,ZA,1692519382
111,enewetak,11.3474,162.3373,29.17,75,76,5.39,MH,1692519382
112,dryden,49.7833,-92.7503,15.16,82,75,3.09,CA,1692519383
113,zarghun shahr,32.8473,68.4457,29.06,14,0,2.76,AF,1692519383
114,bitam,2.076,11.5007,22.24,88,100,0.73,GA,1692519383
115,san antonio de pale,-1.4014,5.6325,23.56,78,100,5.03,GQ,1692519383
116,talnakh,69.4865,88.3972,18.45,86,100,3.01,RU,1692519383
117,flying fish cove,-10.4217,105.6791,25.82,83,100,5.66,CX,1692519384
118,kalmunai,7.4167,81.8167,32.54,51,1,6.59,LK,1692519384
119,utrik,11.2278,169.8474,28.54,78,36,6.91,MH,1692519384
